"ID","Case.Number","Date","Block","IUCR","Primary.Type","Description","Location.Description","Arrest","Domestic","Beat","District","Ward","Community.Area","FBI.Code","Year","Updated.On","Time","ActiveOrInactive"
8051723,"HT283323",2011-05-06,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",20:20:00,"Inactive"
8051697,"HT283318",2011-05-06,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","false","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",20:45:00,"Inactive"
8051754,"HT283375",2011-05-06,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","true","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",21:20:00,"Inactive"
8051734,"HT283383",2011-05-06,"033XX N HARLEM AVE","031A","ROBBERY","ARMED: HANDGUN","CTA BUS STOP","false","false",1631,16,36,17,"03",2011,"02/10/2018 03:50:01 PM",21:30:00,"Inactive"
8055767,"HT287696",2011-05-07,"002XX W 35TH ST","0820","THEFT","$500 AND UNDER","CTA TRAIN","false","false",924,9,11,34,"06",2011,"02/10/2018 03:50:01 PM",01:30:00,"Active"
8052113,"HT283723",2011-05-07,"009XX W FULLERTON AVE","0460","BATTERY","SIMPLE","CTA PLATFORM","true","false",1812,18,43,7,"08B",2011,"02/10/2018 03:50:01 PM",03:25:00,"Active"
8052131,"HT283839",2011-05-07,"003XX S STATE ST","0560","ASSAULT","SIMPLE","CTA BUS","false","false",123,1,2,32,"08A",2011,"02/10/2018 03:50:01 PM",07:00:00,"Active"
8054969,"HT284267",2011-05-07,"025XX N CLARK ST","0810","THEFT","OVER $500","CTA BUS","false","false",1933,19,43,7,"06",2011,"02/10/2018 03:50:01 PM",12:55:00,"Inactive"
8052604,"HT284395",2011-05-07,"078XX S DR MARTIN LUTHER KING JR DR","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","CTA BUS STOP","true","false",623,6,6,69,"18",2011,"02/10/2018 03:50:01 PM",13:57:00,"Inactive"
8052771,"HT284158",2011-05-07,"034XX W DOUGLAS BLVD","0340","ROBBERY","ATTEMPT: STRONGARM-NO WEAPON","CTA BUS","false","false",1021,10,24,29,"03",2011,"05/04/2016 03:48:23 PM",15:35:00,"Inactive"
8052709,"HT284512",2011-05-07,"019XX S KEDZIE AVE","1330","CRIMINAL TRESPASS","TO LAND","CTA PLATFORM","true","false",1022,10,24,29,"26",2011,"02/10/2018 03:50:01 PM",15:57:00,"Inactive"
8052859,"HT284749",2011-05-07,"0000X E 61ST ST","0880","THEFT","PURSE-SNATCHING","CTA BUS","false","false",311,3,20,40,"06",2011,"02/10/2018 03:50:01 PM",18:30:00,"Inactive"
8061250,"HT284812",2011-05-07,"074XX S ASHLAND AVE","0820","THEFT","$500 AND UNDER","CTA BUS","false","false",735,7,17,67,"06",2011,"02/04/2016 06:33:39 AM",19:38:00,"Inactive"
8052901,"HT284811",2011-05-07,"037XX N KIMBALL AVE","1811","NARCOTICS","POSS: CANNABIS 30GMS OR LESS","CTA BUS STOP","true","false",1732,17,35,16,"18",2011,"02/10/2018 03:50:01 PM",19:53:00,"Inactive"
8052935,"HT284838",2011-05-07,"008XX N STATE ST","1210","DECEPTIVE PRACTICE","THEFT OF LABOR/SERVICES","CTA PLATFORM","false","false",1832,18,42,8,"11",2011,"02/10/2018 03:50:01 PM",20:00:00,"Inactive"
8053012,"HT284914",2011-05-07,"002XX S STATE ST","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",123,1,42,32,"03",2011,"02/10/2018 03:50:01 PM",20:30:00,"Inactive"
8055991,"HT287899",2011-05-07,"005XX S PULASKI RD","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",1132,11,24,26,"03",2011,"02/10/2018 03:50:01 PM",20:45:00,"Inactive"
8053019,"HT284908",2011-05-07,"055XX S DR MARTIN LUTHER KING JR DR","0820","THEFT","$500 AND UNDER","CTA BUS","false","false",234,2,3,40,"06",2011,"02/10/2018 03:50:01 PM",21:08:00,"Inactive"
8053284,"HT285231",2011-05-08,"008XX W 79TH ST","0820","THEFT","$500 AND UNDER","CTA BUS","false","false",621,6,17,71,"06",2011,"02/10/2018 03:50:01 PM",04:10:00,"Active"
8054821,"HT286677",2011-05-08,"055XX S ASHLAND AVE","0870","THEFT","POCKET-PICKING","CTA BUS","false","false",715,7,15,67,"06",2011,"02/10/2018 03:50:01 PM",09:00:00,"Inactive"
8054431,"HT285639",2011-05-08,"011XX N CLARK ST","0820","THEFT","$500 AND UNDER","CTA TRAIN","false","false",1824,18,42,8,"06",2011,"02/10/2018 03:50:01 PM",13:07:00,"Inactive"
8053841,"HT285868",2011-05-08,"002XX E RANDOLPH ST","2024","NARCOTICS","POSS: HEROIN(WHITE)","CTA BUS","true","false",124,1,42,32,"18",2011,"02/10/2018 03:50:01 PM",15:44:00,"Inactive"
8053972,"HT286039",2011-05-08,"005XX N STATE ST","0870","THEFT","POCKET-PICKING","CTA TRAIN","false","false",1834,18,42,8,"06",2011,"02/10/2018 03:50:01 PM",16:00:00,"Inactive"
8060211,"HT285939",2011-05-08,"005XX S LA SALLE ST","0337","ROBBERY","ATTEMPT: ARMED-OTHER DANG WEAP","CTA TRAIN","false","false",131,1,2,32,"03",2011,"02/04/2016 06:33:39 AM",16:50:00,"Inactive"
8054059,"HT286051",2011-05-08,"023XX W 69TH ST","0320","ROBBERY","STRONGARM - NO WEAPON","CTA BUS","false","false",832,8,17,66,"03",2011,"02/10/2018 03:50:01 PM",18:10:00,"Inactive"
8053935,"HT286042",2011-05-08,"067XX S COTTAGE GROVE AVE","0320","ROBBERY","STRONGARM - NO WEAPON","CTA BUS","false","false",321,3,20,42,"03",2011,"02/10/2018 03:50:01 PM",18:30:00,"Inactive"
8055753,"HT286218",2011-05-08,"055XX S LAKE PARK AVE","0870","THEFT","POCKET-PICKING","CTA BUS","false","false",2132,2,5,41,"06",2011,"02/10/2018 03:50:01 PM",21:13:00,"Inactive"
8056521,"HT288317",2011-05-09,"047XX S PRAIRIE AVE","0320","ROBBERY","STRONGARM - NO WEAPON","CTA TRAIN","false","false",224,2,3,38,"03",2011,"02/10/2018 03:50:01 PM",08:00:00,"Inactive"
8056669,"HT288299",2011-05-09,"005XX W ADAMS ST","0870","THEFT","POCKET-PICKING","CTA BUS","false","false",111,1,2,28,"06",2011,"02/10/2018 03:50:01 PM",09:15:00,"Inactive"
8066145,"HT287028",2011-05-09,"040XX W LAKE ST","2024","NARCOTICS","POSS: HEROIN(WHITE)","CTA PLATFORM","true","false",1114,11,28,26,"18",2011,"02/04/2016 06:33:39 AM",12:11:34,"Inactive"
8061760,"HT287297",2011-05-09,"004XX E 79TH ST","1320","CRIMINAL DAMAGE","TO VEHICLE","CTA BUS","true","false",624,6,6,69,"14",2011,"02/04/2016 06:33:39 AM",15:15:00,"Inactive"
8055757,"HT287761",2011-05-09,"095XX S STATE ST","0870","THEFT","POCKET-PICKING","CTA PLATFORM","false","false",511,5,21,49,"06",2011,"02/10/2018 03:50:01 PM",15:30:00,"Inactive"
8055695,"HT287605",2011-05-09,"005XX W LAKE ST","0820","THEFT","$500 AND UNDER","CTA PLATFORM","false","false",1212,12,42,28,"06",2011,"02/10/2018 03:50:01 PM",17:00:00,"Inactive"
8056035,"HT287997",2011-05-09,"059XX W DIVISION ST","1661","GAMBLING","GAME/DICE","CTA BUS STOP","true","false",1511,15,29,25,"19",2011,"02/10/2018 03:50:01 PM",21:59:00,"Inactive"
8056108,"HT288095",2011-05-09,"020XX S KOSTNER AVE","0880","THEFT","PURSE-SNATCHING","CTA TRAIN","false","false",1012,10,24,29,"06",2011,"02/10/2018 03:50:01 PM",22:15:00,"Inactive"
8056148,"HT288070",2011-05-09,"015XX N CLYBOURN AVE","031A","ROBBERY","ARMED: HANDGUN","CTA PLATFORM","true","false",1822,18,43,8,"03",2011,"02/04/2016 06:33:39 AM",22:52:00,"Inactive"
8060241,"HT291741",2011-05-09,"069XX S ASHLAND AVE","031A","ROBBERY","ARMED: HANDGUN","CTA BUS STOP","false","false",735,7,17,67,"03",2011,"02/10/2018 03:50:01 PM",23:45:00,"Inactive"
8056845,"HT288632",2011-05-10,"006XX S PULASKI RD","0880","THEFT","PURSE-SNATCHING","CTA TRAIN","false","false",1132,11,24,26,"06",2011,"02/10/2018 03:50:01 PM",03:00:00,"Active"
8057158,"HT288292",2011-05-10,"033XX N MILWAUKEE AVE","1345","CRIMINAL DAMAGE","TO CITY OF CHICAGO PROPERTY","CTA BUS","false","false",1732,17,31,21,"14",2011,"02/10/2018 03:50:01 PM",07:48:00,"Inactive"
8072212,"HT304023",2011-05-10,"071XX S KEDZIE AVE","1150","DECEPTIVE PRACTICE","CREDIT CARD FRAUD","CTA BUS","false","false",831,8,18,66,"11",2011,"02/10/2018 03:50:01 PM",09:00:00,"Inactive"
8056630,"HT288499",2011-05-10,"012XX N CLARK ST","0820","THEFT","$500 AND UNDER","CTA TRAIN","false","false",1821,18,42,8,"06",2011,"02/10/2018 03:50:01 PM",10:20:00,"Inactive"
